Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
RNA_float_set: NodeSocket.default_value not found.
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.025
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.026
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.027
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.028
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.029
Fra:1 Mem:117.34M (Peak 117.34M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.030
Fra:1 Mem:117.35M (Peak 117.35M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.031
Fra:1 Mem:117.35M (Peak 117.35M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.032
Fra:1 Mem:117.35M (Peak 117.35M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.033
Fra:1 Mem:117.35M (Peak 117.35M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.034
Fra:1 Mem:117.36M (Peak 117.36M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.036
Fra:1 Mem:117.36M (Peak 117.36M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.042
